config_id,input_file,base_encoding,run_number,cost_1,cost_2,elapsed_time,best_model_time,model_count,result_status,timed_out
95,../scripts/input/days_3/input3.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0241,,0,TIMEOUT,True
96,../scripts/input/days_3/input3.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
97,../scripts/input/days_3/input4.lp,../scripts/original_encoding.lp,1,36,40,10.0275,8.4042,101,TIMEOUT,True
98,../scripts/input/days_3/input4.lp,../scripts/optimized_encoding.lp,1,36,40,10.0256,8.2205,101,TIMEOUT,True
99,../scripts/input/days_3/input4.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0193,,0,TIMEOUT,True
100,../scripts/input/days_3/input4.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0184,,0,TIMEOUT,True
101,../scripts/input/days_3/input5.lp,../scripts/original_encoding.lp,1,41,41,10.0267,9.2448,107,TIMEOUT,True
102,../scripts/input/days_3/input5.lp,../scripts/optimized_encoding.lp,1,41,41,10.0248,9.0436,107,TIMEOUT,True
103,../scripts/input/days_3/input5.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0253,,0,TIMEOUT,True
104,../scripts/input/days_3/input5.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.018,,0,TIMEOUT,True
105,../scripts/input/days_3/input6.lp,../scripts/original_encoding.lp,1,8,70,10.0253,9.8464,96,TIMEOUT,True
106,../scripts/input/days_3/input6.lp,../scripts/optimized_encoding.lp,1,7,70,10.0237,9.9006,97,TIMEOUT,True
107,../scripts/input/days_3/input6.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0237,,0,TIMEOUT,True
108,../scripts/input/days_3/input6.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0185,,0,TIMEOUT,True
109,../scripts/input/days_3/input7.lp,../scripts/original_encoding.lp,1,51,33,10.0272,8.8746,108,TIMEOUT,True
110,../scripts/input/days_3/input7.lp,../scripts/optimized_encoding.lp,1,51,33,10.0246,8.4497,108,TIMEOUT,True
111,../scripts/input/days_3/input7.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0255,,0,TIMEOUT,True
112,../scripts/input/days_3/input7.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
113,../scripts/input/days_3/input8.lp,../scripts/original_encoding.lp,1,49,27,10.0279,9.5935,128,TIMEOUT,True
114,../scripts/input/days_3/input8.lp,../scripts/optimized_encoding.lp,1,49,27,10.0251,9.1879,128,TIMEOUT,True
115,../scripts/input/days_3/input8.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0255,,0,TIMEOUT,True
116,../scripts/input/days_3/input8.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0176,,0,TIMEOUT,True
117,../scripts/input/days_3/input9.lp,../scripts/original_encoding.lp,1,36,34,10.0255,6.8097,109,TIMEOUT,True
118,../scripts/input/days_3/input9.lp,../scripts/optimized_encoding.lp,1,36,34,10.0229,6.4335,109,TIMEOUT,True
119,../scripts/input/days_3/input9.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0256,,0,TIMEOUT,True
120,../scripts/input/days_3/input9.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
121,../scripts/input/days_5/input1.lp,../scripts/original_encoding.lp,1,121,35,10.0413,9.582,127,TIMEOUT,True
122,../scripts/input/days_5/input1.lp,../scripts/optimized_encoding.lp,1,75,88,10.0379,9.9417,123,TIMEOUT,True
123,../scripts/input/days_5/input1.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0345,,0,TIMEOUT,True
124,../scripts/input/days_5/input1.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0288,,0,TIMEOUT,True
125,../scripts/input/days_5/input10.lp,../scripts/original_encoding.lp,1,121,29,10.0399,9.8472,129,TIMEOUT,True
126,../scripts/input/days_5/input10.lp,../scripts/optimized_encoding.lp,1,43,118,10.0471,9.9444,117,TIMEOUT,True
127,../scripts/input/days_5/input10.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0352,,0,TIMEOUT,True
128,../scripts/input/days_5/input10.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0285,,0,TIMEOUT,True
129,../scripts/input/days_5/input2.lp,../scripts/original_encoding.lp,1,39,136,10.0404,9.9181,101,TIMEOUT,True
130,../scripts/input/days_5/input2.lp,../scripts/optimized_encoding.lp,1,118,32,10.0368,9.9451,122,TIMEOUT,True
131,../scripts/input/days_5/input2.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.035,,0,TIMEOUT,True
132,../scripts/input/days_5/input2.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0294,,0,TIMEOUT,True
133,../scripts/input/days_5/input3.lp,../scripts/original_encoding.lp,1,85,111,10.042,9.931,96,TIMEOUT,True
134,../scripts/input/days_5/input3.lp,../scripts/optimized_encoding.lp,1,41,137,10.0373,9.9564,113,TIMEOUT,True
135,../scripts/input/days_5/input3.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.035,,0,TIMEOUT,True
136,../scripts/input/days_5/input3.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0273,,0,TIMEOUT,True
137,../scripts/input/days_5/input4.lp,../scripts/original_encoding.lp,1,125,23,10.0417,9.9597,122,TIMEOUT,True
138,../scripts/input/days_5/input4.lp,../scripts/optimized_encoding.lp,1,39,126,10.0373,9.9145,104,TIMEOUT,True
139,../scripts/input/days_5/input4.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0346,,0,TIMEOUT,True
140,../scripts/input/days_5/input4.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0293,,0,TIMEOUT,True
141,../scripts/input/days_5/input5.lp,../scripts/original_encoding.lp,1,93,92,10.0406,9.9613,104,TIMEOUT,True
142,../scripts/input/days_5/input5.lp,../scripts/optimized_encoding.lp,1,35,136,10.0373,9.917,120,TIMEOUT,True
143,../scripts/input/days_5/input5.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0361,,0,TIMEOUT,True
144,../scripts/input/days_5/input5.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0277,,0,TIMEOUT,True
145,../scripts/input/days_5/input6.lp,../scripts/original_encoding.lp,1,132,20,10.0389,9.9212,144,TIMEOUT,True
146,../scripts/input/days_5/input6.lp,../scripts/optimized_encoding.lp,1,40,135,10.038,9.9411,120,TIMEOUT,True
147,../scripts/input/days_5/input6.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.026,,0,TIMEOUT,True
148,../scripts/input/days_5/input6.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0278,,0,TIMEOUT,True
149,../scripts/input/days_5/input7.lp,../scripts/original_encoding.lp,1,47,128,10.0391,9.9458,109,TIMEOUT,True
150,../scripts/input/days_5/input7.lp,../scripts/optimized_encoding.lp,1,122,27,10.0353,9.9102,141,TIMEOUT,True
151,../scripts/input/days_5/input7.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0333,,0,TIMEOUT,True
152,../scripts/input/days_5/input7.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0287,,0,TIMEOUT,True
153,../scripts/input/days_5/input8.lp,../scripts/original_encoding.lp,1,110,31,10.0399,9.9462,142,TIMEOUT,True
154,../scripts/input/days_5/input8.lp,../scripts/optimized_encoding.lp,1,39,127,10.037,9.9215,114,TIMEOUT,True
155,../scripts/input/days_5/input8.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0338,,0,TIMEOUT,True
156,../scripts/input/days_5/input8.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0303,,0,TIMEOUT,True
157,../scripts/input/days_5/input9.lp,../scripts/original_encoding.lp,1,99,82,10.0403,9.8902,116,TIMEOUT,True
158,../scripts/input/days_5/input9.lp,../scripts/optimized_encoding.lp,1,104,58,10.0372,9.9622,139,TIMEOUT,True
159,../scripts/input/days_5/input9.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0337,,0,TIMEOUT,True
160,../scripts/input/days_5/input9.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0294,,0,TIMEOUT,True
